case_id	source	verdict	one_line	anchor
H-R11C-D-e	notes/r11d-raw-handover-disposition.md:286	不归属本轮·转R12装订	成品章 10 处违反硬标准 8(写了裸文件名) —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:286` 的 `H-R11C-D-e`
H-R11C-D-g	notes/r11d-raw-handover-disposition.md:287	不归属本轮·转R12装订	片 C 的 31 份里还有 143 处可机械补全锚点,另有 105 处在围栏/引用块内 —— R11D 判「R12 前置(锚点收口)」,是装订前的锚点批处理;本轮无锚点片,历史 notes/ 不动	`notes/r11d-raw-handover-disposition.md:287` 的 `H-R11C-D-g`
H-R11C-D-h	notes/r11d-raw-handover-disposition.md:288	不归属本轮·转R12装订	3 处省略中段的路径写在手工列宽对齐的 ```text 表里,补全会破坏对齐 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:288` 的 `H-R11C-D-h`
H-R11C-F-c	notes/r11d-raw-handover-disposition.md:293	不归属本轮·转R12装订	第 13 章把 `urllib_security` 的覆盖缺口记 ◇,而 R9D 已就同一处新立 ■ —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:293` 的 `H-R11C-F-c`
H-R11C-F-d	notes/r11d-raw-handover-disposition.md:294	不归属本轮·转R12装订	同一个「`urllib_security` 采纳率」被两章用两种口径各报一次,两章都没写口径 —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:294` 的 `H-R11C-F-d`
H-R11D-B-b	reports/round-11d-pre-binding-prereq.md:838	不归属本轮·转R12装订	4 处「第 N 章」不点名文件,章序关卡按「不猜」记 `未点名文件(不猜)=4`;当前指向全对,但 R12 重排后没有任何机制会提醒它们过期 —— R11D 判「R12 重排之前」:4 处「第 N 章」不点名文件,关卡按「不猜」记未点名=4;改法要动 chapters/ 正文。本轮 reading/03 的章链接由 data/chapter-order.tsv 机械生成,演示了「章号 + 文件名同现」的写法,但没有也不能改正文里那 4 处	`reports/round-11d-pre-binding-prereq.md:838` 的 `H-R11D-B-b`
H-R11D-B-c	reports/round-11d-pre-binding-prereq.md:839	不归属本轮·转R12装订	`chapters/` 内 8 处跨章裸文件名引用(不带行号,自引锚点普查看不见);R12 一旦改名或合并章文件,这 8 处在正文里指向不存在的文件 —— R11D 判「R12 装订(改名/合并时)同步」:chapters/ 内 8 处跨章裸文件名;本轮 chapters/ 零改动	`reports/round-11d-pre-binding-prereq.md:839` 的 `H-R11D-B-c`
H-R11D-B-d	reports/round-11d-pre-binding-prereq.md:840	不归属本轮·转R12装订	R11C §11.1 最后一行的逐片计数两种读法都对不上(实为 A4/B6/C6/D9/E6/F4,其余 25),而它罩着全部 3 条正文缺陷 —— R11D 判「R12 前置」:R11C §11.1 最后一行逐片计数两种读法都对不上;更正落在 reports/round-11c 的正文,按制度只能走文末勘误节,不是本轮的活	`reports/round-11d-pre-binding-prereq.md:840` 的 `H-R11D-B-d`
H-R11D-B-e	reports/round-11d-pre-binding-prereq.md:841	不归属本轮·转R12装订	可复算指标关卡是声明式的,21 章只有 `chapters/r1` 写了声明;`chapters/r10b` 另有 2 处台账手抄件当前值正确但无声明,L3 或全仓总数一变即静默过期 —— R11D 写「建议下一轮:补声明」,而补的是 chapters/r10b 里两处台账手抄件的 <!-- derived: --> 声明 —— 落点在 chapters/ 正文,本轮边界写死零改动。**它与本轮新立的防手抄关卡是同一族**:两者都在补「手抄件不在任何检查面上」这个口子	`reports/round-11d-pre-binding-prereq.md:841` 的 `H-R11D-B-e`
H-R11D-B-f	reports/round-11d-pre-binding-prereq.md:828	不归属本轮·转R12装订	101 处指向 `chapters/` 的自引锚点未钉 commit;来源里没有 `chapters/`,故正文不受影响,代价是 R12 分批改章时作者随后要读的 `notes/` 锚点当场漂 —— R11D 判「R12 开工第一件事」:101 处指向 chapters/ 的自引锚点未钉 commit;补钉子要动 notes/reviews/reports,且必须在 R12 动章之前做,不在本轮范围	`reports/round-11d-pre-binding-prereq.md:828` 的 `H-R11D-B-f`
H-R9D-D-h	notes/r11d-raw-handover-disposition.md:362	不归属本轮·转R12装订	Read and participate in a Discord server. Actions include `search_members`, `fetch_messa —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:362` 的 `H-R9D-D-h`
H-R9D-E-g	notes/r11d-raw-handover-disposition.md:369	不归属本轮·转R12装订	文档承诺站点黑名单覆盖 `web_search`/`web_extract`,实测 `web_search` 完全不覆盖、`web_extract` 只在 firecrawl —— R11D 判「转 R12 装订」,落点在 chapters/ 正文或装订期口径;本轮 chapters/ 零改动	`notes/r11d-raw-handover-disposition.md:369` 的 `H-R9D-E-g`
H-R10G-b	notes/r11d-raw-handover-disposition.md:255	不归属本轮·转内容轮	`/api/memory/providers/{name}/setup` 除 pip 外还会 `shlex.split()` 执行 manifest 里的命令 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:255` 的 `H-R10G-b`
H-R10G-c	notes/r11d-raw-handover-disposition.md:256	不归属本轮·转内容轮	`typecheck` 指向 `files: []` 的 solution tsconfig,疑为空转 —— 要 npm ci 后比对 tsc -b 与 npm run typecheck;本轮禁装任何包	`notes/r11d-raw-handover-disposition.md:256` 的 `H-R10G-c`
H-R11A-d	notes/r11d-raw-handover-disposition.md:219	不归属本轮·转内容轮	平台 extra 的运行期集合仍未确定,要真装一遍全量跑 —— R11D 判「转装 extra 轮」,要装可选依赖后跑基线用例;本轮禁装包、禁动 venv	`notes/r11d-raw-handover-disposition.md:219` 的 `H-R11A-d`
H-R11B-B1-b	notes/r11d-raw-handover-disposition.md:251	不归属本轮·转内容轮	全仓可能还有别的手写重定向守卫沿用 `next_request` 判定式,片 B1 没做普查 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:251` 的 `H-R11B-B1-b`
H-R11B-B1-c	notes/r11d-raw-handover-disposition.md:252	不归属本轮·转内容轮	环境变量目录会驱动设置向导,而其中至少 `QQ_SANDBOX` 无任何读取方 —— 要对 151 条静态环境变量逐条在基线找读取方,是内容工作;本轮不吃新内容	`notes/r11d-raw-handover-disposition.md:252` 的 `H-R11B-B1-c`
H-R11B-B2-b	notes/r11d-raw-handover-disposition.md:395	不归属本轮·转内容轮	help 文本硬编码 7 个 provider,目录扫描实测 8 个(漏 `supermemory`);本片只查了这一处手抄名单,未做全仓「provider 名单手抄本」普 —— 要在基线搜硬编码 provider/toolset 名单并与目录扫描对表,是内容工作	`notes/r11d-raw-handover-disposition.md:395` 的 `H-R11B-B2-b`
H-R11B-B2-c	notes/r11d-raw-handover-disposition.md:396	不归属本轮·转内容轮	这张 30 行静态表是「断连是否会触发压缩删历史」的唯一守门人(),但没有任何机制保证新推理模型上架时有人来加行;需确认是否有 CI/脚本对着 models.dev 目 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:396` 的 `H-R11B-B2-c`
H-R11B-f	notes/r11d-raw-handover-disposition.md:221	不归属本轮·转内容轮	TTS 转码链路同样卡在无 ffmpeg(不在 13 条内,同族一并处置) —— R11D 判「转装 extra 轮」,要装可选依赖后跑基线用例;本轮禁装包、禁动 venv	`notes/r11d-raw-handover-disposition.md:221` 的 `H-R11B-f`
H-R11C-C-c	notes/r11d-raw-handover-disposition.md:280	不归属本轮·转内容轮	R9A 五个场景探针的脚本从未进过版本控制,读数在新容器里不可重跑 —— 要重写五个 env-loader 场景探针并实跑基线取读数,是内容工作	`notes/r11d-raw-handover-disposition.md:280` 的 `H-R11C-C-c`
H-R11C-M-c	notes/r11d-raw-handover-disposition.md:193	不归属本轮·转内容轮	`H-R9B-f`/`H-R11A-d`/`H-R11B-f` 三条同族卡在「本轮不扩共享环境」,已连续两轮不关闭 —— R11D 判「转装 extra 轮」,要装可选依赖后跑基线用例;本轮禁装包、禁动 venv	`notes/r11d-raw-handover-disposition.md:193` 的 `H-R11C-M-c`
H-R11D-M-d	reports/round-11d-pre-binding-prereq.md:831	不归属本轮·转内容轮	`acp` extra 不在 `[dev]` 里,连同 `teams` 共 12 个文件零执行,掩盖 ≥118 个 `def test_` —— R11D 主线铸:acp / teams extra 未装致 12 个文件零执行、掩盖 ≥118 个 def test_;与 H-R9B-f / H-R11A-d / H-R11B-f 同族,要装包实跑,本轮禁装包	`reports/round-11d-pre-binding-prereq.md:831` 的 `H-R11D-M-d`
H-R8D-B-a	notes/r11d-raw-handover-disposition.md:496	不归属本轮·转内容轮	六个 provider 别名在两处映射表里给出不同结果 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:496` 的 `H-R8D-B-a`
H-R8D-B-b	notes/r11d-raw-handover-disposition.md:497	不归属本轮·转内容轮	字符串 `qwen` 在 picker 侧 = DashScope、运行时侧 = Qwen —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:497` 的 `H-R8D-B-b`
H-R8D-B-c	notes/r11d-raw-handover-disposition.md:498	不归属本轮·转内容轮	`HERMES_OVERLAYS.get(slug)` 用 CLI slug 查 models.dev slug 键,9/43 落空 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:498` 的 `H-R8D-B-c`
H-R8D-B-d	notes/r11d-raw-handover-disposition.md:499	不归属本轮·转内容轮	`vllm`/`llamacpp`/`llama.cpp`/`llama-cpp` 映到 `local`,而 `get_provider('local')` 返回 `None` —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:499` 的 `H-R8D-B-d`
H-R8D-B-e	notes/r11d-raw-handover-disposition.md:500	不归属本轮·转内容轮	传入 models.dev 空间的 provider 名时所有分支落空、模型名原样返回 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:500` 的 `H-R8D-B-e`
H-R8D-B-f	notes/r11d-raw-handover-disposition.md:501	不归属本轮·转内容轮	两张 host→api_mode 表互为补集,直接调 `determine_api_mode` 的路径结果不同 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:501` 的 `H-R8D-B-f`
H-R9B-f	notes/r11d-raw-handover-disposition.md:220	不归属本轮·转内容轮	`.ogg` 目标下三处走裸 ffmpeg,未实跑确认编解码 —— R11D 判「转装 extra 轮」,要装可选依赖后跑基线用例;本轮禁装包、禁动 venv	`notes/r11d-raw-handover-disposition.md:220` 的 `H-R9B-f`
H-R9D-A-a	notes/r11d-raw-handover-disposition.md:333	不归属本轮·转内容轮	外层预算不随 `wait_mode` 走,`full` 模式下 8s < 内层 10s,基线快照必超时并把 `(server, root)` 永久标 broken(实跑 P6) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:333` 的 `H-R9D-A-a`
H-R9D-A-b	notes/r11d-raw-handover-disposition.md:334	不归属本轮·转内容轮	服务器拒绝 pull 时该循环空转,2s 发 6855 次请求(实跑 P7) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:334` 的 `H-R9D-A-b`
H-R9D-A-c	notes/r11d-raw-handover-disposition.md:335	不归属本轮·转内容轮	用 git 根查按逐服务器根建的客户端池,marker 在子目录时必空,基线滚动静默失效(实跑 P8) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:335` 的 `H-R9D-A-c`
H-R9D-A-d	notes/r11d-raw-handover-disposition.md:336	不归属本轮·转内容轮	「非 git 目录」被永久负缓存,文档教的 `git init` 在本进程内无效(实跑 P2) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:336` 的 `H-R9D-A-d`
H-R9D-A-e	notes/r11d-raw-handover-disposition.md:337	不归属本轮·转内容轮	`hermes lsp which` 漏了 `_recipe_pkg_for` 别名映射,与 `status` 对同一服务器给出相反答案(实跑 P5) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:337` 的 `H-R9D-A-e`
H-R9D-A-f	notes/r11d-raw-handover-disposition.md:338	不归属本轮·转内容轮	外层取消抛的 `CancelledError` 不被捕获,`_cleanup_process()` 不跑,语言服务器进程泄漏(实跑 P10) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:338` 的 `H-R9D-A-f`
H-R9D-A-g	notes/r11d-raw-handover-disposition.md:339	不归属本轮·转内容轮	ceiling 差一层,项目根可以解析到 git 工作树之外(实跑 P1) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:339` 的 `H-R9D-A-g`
H-R9D-A-h	notes/r11d-raw-handover-disposition.md:340	不归属本轮·转内容轮	同步 `subprocess.run(timeout=300)` 跑在 LSP 后台事件循环上,而外层只有 8s ——推定首次自动安装必然把服务器打成 broken,需 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:340` 的 `H-R9D-A-h`
H-R9D-B-a	notes/r11d-raw-handover-disposition.md:341	不归属本轮·转内容轮	`patch` 无读禁、无脱敏,返回的 unified diff 把 `auth.json` / 项目 `.env` 的明文密钥原样交给模型(实跑复现,见 ■-3) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:341` 的 `H-R9D-B-a`
H-R9D-B-c	notes/r11d-raw-handover-disposition.md:342	不归属本轮·转内容轮	写禁清单里没有 `auth.json`,`write_file` 可整体覆盖主凭据库;而 `website/docs/user-guide/security.md` 的 “Pr —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:342` 的 `H-R9D-B-c`
H-R9D-B-d	notes/r11d-raw-handover-disposition.md:343	不归属本轮·转内容轮	单引号内的 `\"` 是字面量,trap 触发时 `rm` 删的是一个名字带引号的路径,临时文件从不被清理(最小 bash 复现见 ■-4) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:343` 的 `H-R9D-B-d`
H-R9D-B-e	notes/r11d-raw-handover-disposition.md:344	不归属本轮·转内容轮	sha256 写后校验"验证不了"与"验证通过"输出相同,于是 `write_file` 指向已存在目录时报成功、内容落进目录里的隐藏 `.hermes-tmp.*`(实跑复现 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:344` 的 `H-R9D-B-e`
H-R9D-B-f	notes/r11d-raw-handover-disposition.md:345	不归属本轮·转内容轮	`total_lines` 来自 `wc -l`(数换行符),无尾换行文件少 1,于是边界情形下末行被静默丢弃且 `truncated=False`(实跑复现,见 ■-7) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:345` 的 `H-R9D-B-f`
H-R9D-B-g	notes/r11d-raw-handover-disposition.md:348	不归属本轮·转内容轮	容器后端不做 `resolve()` 而读禁判定在宿主 `resolve()`,推定容器内软链可绕过读禁 —— 未取证,需要 Docker 环境 —— 要在 Docker 容器内造软链实跑读禁绕过;本容器无 Docker,且本轮不跑基线	`notes/r11d-raw-handover-disposition.md:348` 的 `H-R9D-B-g`
H-R9D-B-h	notes/r11d-raw-handover-disposition.md:346	不归属本轮·转内容轮	模块级写禁快照零消费者,且 `_HOME` 在 import 时求值、不认 HERMES_HOME/profile(全仓搜索见 ◇-2) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:346` 的 `H-R9D-B-h`
H-R9D-C-a	notes/r11d-raw-handover-disposition.md:349	不归属本轮·转内容轮	`no_agent` 脚本执行路径上 `cron/*.py` 里零个审批调用,`approvals.cron_mode: deny` 对它无效;模型写脚本进 `~/.herme —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:349` 的 `H-R9D-C-a`
H-R9D-C-b	notes/r11d-raw-handover-disposition.md:350	不归属本轮·转内容轮	`_handle_link` 缺 `_enforce_worker_task_ownership`,worker 实测可把外国租户的 `ready` 卡降级为 `todo` 并 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:350` 的 `H-R9D-C-b`
H-R9D-C-c	notes/r11d-raw-handover-disposition.md:351	不归属本轮·转内容轮	只看终态工具调用过不看成功过,一次被判官驳回的 `kanban_complete` 就永久关掉守卫(见 §4 ■1) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:351` 的 `H-R9D-C-c`
H-R9D-C-d	notes/r11d-raw-handover-disposition.md:352	不归属本轮·转内容轮	同一个 lambda 里 `attach_to_session` 未转发,schema 承诺与行为不一致(见 §4 ■6) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:352` 的 `H-R9D-C-d`
H-R9D-C-e	notes/r11d-raw-handover-disposition.md:353	不归属本轮·转内容轮	全仓唯一只认 env、不认 `is_dispatcher_owned_worker` ContextVar 的看板消费者(见 §4 ■3) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:353` 的 `H-R9D-C-e`
H-R9D-C-f	notes/r11d-raw-handover-disposition.md:354	不归属本轮·转内容轮	多条缺 id 的待办折叠成一条,静默丢计划(见 §4 ■4) —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:354` 的 `H-R9D-C-f`
H-R9D-D-a	notes/r11d-raw-handover-disposition.md:355	不归属本轮·转内容轮	该 NOTE 声称模型不能自主外发,但 `cronjob` 的 `deliver` 是模型可写的自由目标字符串,经 直通同一引擎;需要一轮把 cron 片与本片合起来定案这条 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:355` 的 `H-R9D-D-a`
H-R9D-D-b	notes/r11d-raw-handover-disposition.md:356	不归属本轮·转内容轮	QQBot 无插件、无 `max_message_length`,超长消息被静默切断且返回 `success: True`,无 warning —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:356` 的 `H-R9D-D-b`
H-R9D-D-c	notes/r11d-raw-handover-disposition.md:357	不归属本轮·转内容轮	模型给的 `channel_id`/`message_id` 零格式校验直接拼进 URL;urllib 实测不归一化 `..`;同片 HA 为同一形状专门加了白名单正则() —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:357` 的 `H-R9D-D-c`
H-R9D-D-d	notes/r11d-raw-handover-disposition.md:358	不归属本轮·转内容轮	本片唯一"凭据跟着重定向走"的客户端(实跑复现 Authorization 跨 origin 保留);仓库已有 未被使用 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:358` 的 `H-R9D-D-d`
H-R9D-D-e	notes/r11d-raw-handover-disposition.md:359	不归属本轮·转内容轮	47 个用例(含 Slack/Signal/Matrix/WhatsApp 等与 Telegram 无关的)被一个可选依赖整文件跳过,运行器仍显示 ✓;下一轮报测试数时要把它当 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:359` 的 `H-R9D-D-e`
H-R9D-D-f	notes/r11d-raw-handover-disposition.md:360	不归属本轮·转内容轮	配了 `HASS_TOKEN` 即自动启用()且无任何逐次审批;审批片若已定案 hermes 的审批只覆盖 terminal/file,需要显式把"物理设备控制无审批"写进结论 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:360` 的 `H-R9D-D-f`
H-R9D-D-g	notes/r11d-raw-handover-disposition.md:361	不归属本轮·转内容轮	可用性探针只查 `lark_oapi` 是否可导入,真实可用条件是 注入的线程局部客户端;装了 SDK 的任何会话都会看到 5 个必失败的工具 —— R11D 判「转代码缺陷复核轮」,要读基线代码并实跑复现;本轮不吃新内容,不动基线	`notes/r11d-raw-handover-disposition.md:361` 的 `H-R9D-D-g`
