# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
kind	cid	entity	mint	token	token_src	hits_outside	where
ENT	H-4	1	notes/r8a-90-doc-conflict-rulings.md:2113	cli.py	锚点路径(该行无可用摘录符号)	1609	chapters/r8a-configuration-surface.md:13,chapters/r8b-cli-trunk-and-interaction.md:21,chapters/r8c-dashboard-and-web.md:1,notes/r10-raw-tui-gateway-methods.md:1,notes/r10b-raw-settings-billing.md:5,notes/r11b-raw-backlog-light.md:5
ENT	H-4	2	notes/r8d-raw-provider-identity.md:2705	get_provider	摘录符号	56	chapters/r2-turn-loop-and-model-access.md:1,notes/r2-20-adapters.md:2,notes/r2-21-auxiliary-metadata-pricing.md:1,notes/r7c-raw-slash-b.md:2,notes/r8a-raw-tools-config-c.md:2,notes/r8b-raw-cli-session-model.md:1
ENT	H-4	3	notes/r9a-raw-research-pipeline.md:2301	mini_swe_runner.py	锚点路径(该行无可用摘录符号)	8	chapters/r9a-capability-organization.md:1,notes/r9a-01-scope-and-split.md:1,notes/r9a-90-rulings.md:2,reports/round-1-capabilities-full.md:2,reports/round-1-survey.md:1,reports/round-9a-capability-organization.md:1
ENT	H-5	1	notes/r8a-90-doc-conflict-rulings.md:2114	ui-tui/src/gatewayTypes.ts	锚点路径(该行无可用摘录符号)	6	notes/r10-raw-tui-gateway-skeleton.md:1,notes/r10-raw-ui-tui-core.md:2,notes/r10b-raw-settings-billing.md:2,notes/r8a-01-scope-and-mainline.md:1
ENT	H-5	2	notes/r8d-raw-provider-identity.md:2706	hermes_cli/model_normalize.py	锚点路径(该行无可用摘录符号)	1	notes/r7-raw-run-13-turn-exec-lifecycle.md:1
ENT	H-5	3	notes/r9a-raw-research-pipeline.md:2302	WebResearchEnv	摘录符号	0	-
ENT	H-6	1	notes/r8d-raw-provider-identity.md:2707	determine_api_mode	摘录符号	33	chapters/r2-turn-loop-and-model-access.md:2,notes/r11b-raw-notes-citation-cleanup.md:2,notes/r2-20-adapters.md:8,notes/r9c-raw-relay-and-plugin-llm.md:6,notes/r9c-raw-transport-contract.md:11,reports/round-1-capabilities-full.md:3
ENT	H-6	2	notes/r9a-raw-delegate-tool.md:2862	run_agent.py	锚点路径(该行无可用摘录符号)	215	chapters/r1-what-is-hermes-agent.md:2,chapters/r2-turn-loop-and-model-access.md:6,chapters/r9a-capability-organization.md:2,chapters/r9c-external-interfaces.md:1,notes/r10-raw-acp-adapter.md:1,notes/r11b-raw-backlog-light.md:6
ENT	H-6	3	notes/r9a-raw-research-pipeline.md:2303	batch_stats	摘录符号	0	-
ENT	H-7	1	notes/r8a-90-doc-conflict-rulings.md:2117	require_readable_config_before_write	摘录符号	32	notes/r8a-raw-config-a.md:1,notes/r8a-raw-config-b.md:3,notes/r8a-raw-config-c.md:6,notes/r8a-raw-config-d.md:4,notes/r8c-11-hr8fixa-guard-parse-check.md:4,notes/r8c-90-rulings.md:1
ENT	H-7	2	notes/r8d-raw-credentials-security.md:271	hermes_cli/credential_lifecycle.py	锚点路径(该行无可用摘录符号)	12	chapters/r8d-self-custody.md:1,notes/r8a-raw-config-c.md:1,notes/r8a-raw-config-d.md:2,notes/r8b-90-handover-rulings.md:1,notes/r8c-11-hr8fixa-guard-parse-check.md:2,notes/r8c-raw-auth-py.md:2
ENT	H-7	3	notes/r8d-raw-provider-identity.md:2708	_VENDOR_PREFIXES	摘录符号	0	-
ENT	H-7	4	notes/r9a-raw-research-pipeline.md:2304	batch_runner.py	锚点路径(该行无可用摘录符号)	18	chapters/r9a-capability-organization.md:4,notes/r9a-01-scope-and-split.md:1,notes/r9a-90-rulings.md:6,notes/r9a-raw-delegate-tool.md:1,reports/round-1-capabilities-full.md:3,reports/round-1-survey.md:1
ENT	H-9A-1	1	notes/r9a-raw-moa.md:2546	build_moa_facade	摘录符号	0	-
ENT	H-9A-1	2	notes/r9a-raw-skills-hub.md:2231	skill_view	摘录符号	97	chapters/r9a-capability-organization.md:1,notes/r10-raw-acp-adapter.md:2,notes/r11a-raw-skills-calibration.md:11,notes/r5-20-context-compression.md:5,notes/r7c-raw-slash-c.md:1,notes/r8b-raw-cli-voice-approval.md:1
ENT	H-9A-2	1	notes/r9a-raw-moa.md:2547	aggregate_moa_context	摘录符号	0	-
ENT	H-9A-2	2	notes/r9a-raw-skills-hub.md:2232	readiness_status	摘录符号	10	notes/r8a-raw-tools-config-a.md:2,notes/r8a-raw-tools-config-b.md:7,notes/r9a-raw-skills-agent-side.md:1
ENT	H-9A-3	1	notes/r9a-raw-moa.md:2548	moa.presets.default.max_tokens	摘录符号	1	notes/r8a-raw-defaults-a.md:1
ENT	H-9A-3	2	notes/r9a-raw-skills-hub.md:2233	_maybe_auto_propose_org_edit	摘录符号	0	-
ENT	H-9A-4	1	notes/r9a-raw-moa.md:2549	per_iteration	摘录符号	5	notes/r8a-raw-mcp-moa-config.md:5
ENT	H-9A-4	2	notes/r9a-raw-skills-hub.md:2234	follow_redirects	摘录符号	37	notes/r11b-raw-backlog-r7b.md:5,notes/r3-30-execute-code-mcp-client.md:1,notes/r9a-90-rulings.md:2,notes/r9a-h-r8d-ef-surveys.md:1,notes/r9b-raw-video.md:1,notes/r9c-raw-billing-and-http-clients.md:1
ENT	H-9A-5	1	notes/r9a-raw-moa.md:2550	agent/moa_loop.py	锚点路径(该行无可用摘录符号)	17	notes/r8a-raw-mcp-moa-config.md:5,notes/r8b-raw-cli-module.md:1,notes/r9a-01-scope-and-split.md:1,notes/r9a-raw-async-delegation.md:1,notes/r9c-raw-transport-contract.md:1,notes/r9d-90-handover-single-call-site-misses.md:1
ENT	H-9A-5	2	notes/r9a-raw-skills-hub.md:2235	THREAT_PATTERNS	摘录符号	7	chapters/r9a-capability-organization.md:1,notes/r3-10-approval-security.md:2,notes/r7c-raw-cron-sched-b.md:1,notes/r9a-90-rulings.md:1,reports/round-1-capabilities-full.md:2
ENT	H-9A-6	1	notes/r9a-raw-moa.md:2551	_preset_cache.clear	摘录符号	0	-
ENT	H-9A-6	2	notes/r9a-raw-skills-hub.md:2236	_find_all_skills	摘录符号	5	notes/r8a-raw-migrations-env-secrets.md:5
ENT	H-R10B-a	1	notes/r10-raw-tui-gateway-methods.md:1648	_profile_scoped	摘录符号	14	notes/r10-raw-tui-gateway-skeleton.md:3,notes/r10-raw-ui-tui-components.md:2,notes/r5-60-r4-structure-cleanup.md:2,notes/r7-raw-run-09-handle-message.md:3,notes/r7-raw-run-10-agent-turn.md:1,notes/r9a-raw-verification.md:1
ENT	H-R10B-a	2	notes/r10b-raw-capability-panels.md:1353	defaultEnabled	摘录符号	2	notes/r11b-raw-rulings-census.md:2
ENT	H-R10B-b	1	notes/r10-raw-tui-gateway-methods.md:1649	self._stopped_respawning	摘录符号	1	notes/r10-raw-desktop-electron.md:1
ENT	H-R10B-b	2	notes/r10b-raw-capability-panels.md:1354	apps/desktop/src/contrib/runtime-loader.ts	锚点路径(该行无可用摘录符号)	1	notes/r11b-90-handover-rulings.md:1
ENT	H-R10B-c	1	notes/r10-raw-tui-gateway-methods.md:1650	self._last_progress_counter	摘录符号	0	-
ENT	H-R10B-c	2	notes/r10b-raw-capability-panels.md:1355	should_allow_install	摘录符号	11	notes/r3-10-approval-security.md:1,notes/r8c-raw-skills-plugins-start.md:1,notes/r8d-raw-extensions.md:4,notes/r9a-raw-skills-hub.md:5
ENT	H-R10B-d	1	notes/r10-raw-tui-gateway-methods.md:1651	_apply_model_switch	摘录符号	6	notes/r8b-raw-cli-session-model.md:6
ENT	H-R10B-d	2	notes/r10b-raw-capability-panels.md:1356	ContributionSource	摘录符号	0	-
ENT	H-R10B-e	1	notes/r10-raw-tui-gateway-methods.md:1652	_is_path_under	摘录符号	0	-
ENT	H-R10B-e	2	notes/r10b-raw-capability-panels.md:1357	skill.provenance	摘录符号	0	-
ENT	H-R10B-e	3	reports/round-10b-desktop-application.md:706	defineConfig	摘录符号	0	-
ENT	H-R10B-f	1	notes/r10-raw-tui-gateway-methods.md:1653	os.path.isabs	摘录符号	2	notes/r9b-raw-image.md:1,notes/r9c-raw-secret-sources.md:1
ENT	H-R10B-f	2	notes/r10b-raw-capability-panels.md:1358	PANES_AREA	摘录符号	1	notes/r10b-raw-store-state.md:1
ENT	H-R10B-g	1	notes/r10-raw-tui-gateway-methods.md:1654	tui_gateway/methods_config.py	锚点路径(该行无可用摘录符号)	2	notes/r10-raw-tui-gateway-skeleton.md:2
ENT	H-R10B-g	2	notes/r10b-raw-capability-panels.md:1359	CommandPalette	摘录符号	2	notes/r10b-raw-shell-overlays.md:1,notes/r10b-raw-store-state.md:1
ENT	H-R8C-f	1	notes/r10-raw-web-dashboard.md:1438	web/src/App.tsx	锚点路径(该行无可用摘录符号)	1	notes/r8a-01-scope-and-mainline.md:1
ENT	H-R8C-f	2	notes/r10b-90-handover-rulings.md:344	app.post	摘录符号	42	chapters/r8c-dashboard-and-web.md:1,notes/r10-90-handover-rulings.md:11,notes/r11a-raw-ci-and-container.md:7,notes/r8a-raw-pairing-and-config-cmd.md:1,notes/r8a-raw-pairing-key.md:1,notes/r8c-raw-boot-authchain.md:2
ENT	H-R8C-f	3	notes/r11a-90-handover-rulings.md:25	hermes_root.resolve	摘录符号	2	notes/r8c-raw-sessions-cron-mcp.md:2
ENT	H-R8D-e	1	notes/r9a-90-rulings.md:500	tools/skills_sync_client.py	锚点路径(该行无可用摘录符号)	56	notes/r7-raw-run-13-turn-exec-lifecycle.md:1,notes/r9a-raw-skills-sync.md:44,notes/r9b-90-rulings.md:6,notes/r9c-raw-billing-and-http-clients.md:1,notes/r9c-raw-monitoring-egress.md:1,reports/round-9a-capability-organization.md:1
ENT	H-R8D-e	2	reports/round-8d-cli-completion.md:428	base_url	摘录符号	784	chapters/r2-turn-loop-and-model-access.md:1,chapters/r9c-external-interfaces.md:1,notes/r10-raw-tui-gateway-methods.md:1,notes/r11a-90-handover-rulings.md:3,notes/r11b-90-handover-rulings.md:1,notes/r11b-92-fix-regression-correction.md:6
ENT	H-R9A-a	1	notes/r9a-h-r8d-b-kanban-db.md:2063	hermes_cli/kanban_db.py	锚点路径(该行无可用摘录符号)	58	notes/r7c-raw-kanban.md:5,notes/r8a-raw-config-a.md:1,notes/r8a-raw-defaults-b.md:2,notes/r8b-raw-cli-runloop.md:2,notes/r8d-str-kanban-and-work.md:16,notes/r9a-90-rulings.md:2
ENT	H-R9A-a	2	notes/r9a-raw-egress.md:1794	hermes_cli/proxy_cli.py	锚点路径(该行无可用摘录符号)	12	notes/r8a-raw-defaults-b.md:2,notes/r8d-raw-root-and-boundary.md:3,notes/r8d-str-egress-proxy.md:7
ENT	H-R9A-a	3	reports/round-9a-capability-organization.md:321	is_relay_media_url	摘录符号	31	chapters/r9a-capability-organization.md:2,notes/r10b-90-handover-rulings.md:5,notes/r11a-90-handover-rulings.md:1,notes/r11b-90-handover-rulings.md:2,notes/r11b-92-fix-regression-correction.md:1,notes/r11b-raw-rulings-census.md:3
ENT	H-R9A-b	1	notes/r9a-h-r8d-b-kanban-db.md:2068	hermes_cli/kanban_db.py	锚点路径(该行无可用摘录符号)	45	notes/r7c-raw-kanban.md:5,notes/r8a-raw-config-a.md:1,notes/r8a-raw-defaults-b.md:2,notes/r8b-raw-cli-runloop.md:2,notes/r8d-str-kanban-and-work.md:16,notes/r9a-90-rulings.md:2
ENT	H-R9A-b	2	notes/r9a-raw-egress.md:1799	match_body	摘录符号	0	-
ENT	H-R9A-b	3	notes/r9d-raw-kanban-todo-cron.md:1618	gateway/kanban_watchers.py	锚点路径(该行无可用摘录符号)	89	notes/r7-90-doc-conflict-rulings.md:1,notes/r7-raw-run-07-start-watchers.md:2,notes/r7c-90-doc-conflict-rulings.md:2,notes/r7c-raw-kanban.md:55,notes/r7c-raw-status.md:1,notes/r8a-raw-defaults-b.md:11
ENT	H-R9A-c	1	notes/r9a-h-r8d-b-kanban-db.md:2075	hermes_cli/kanban_db.py	锚点路径(该行无可用摘录符号)	58	notes/r7c-raw-kanban.md:5,notes/r8a-raw-config-a.md:1,notes/r8a-raw-defaults-b.md:2,notes/r8b-raw-cli-runloop.md:2,notes/r8d-str-kanban-and-work.md:16,notes/r9a-90-rulings.md:2
ENT	H-R9A-c	2	notes/r9a-raw-egress.md:1802	resource_args.append	摘录符号	0	-
ENT	H-R9A-c	3	notes/r9d-90-handover-process-and-verification.md:644	FILE_MUTATING_TOOL_NAMES	摘录符号	6	chapters/r9d-tool-surface-and-guard-placement.md:3,notes/r9a-raw-verification.md:2,reports/round-9d-l1-completion.md:1
ENT	H-R9A-d	1	notes/r9a-h-r8d-b-kanban-db.md:2080	website/docs/user-guide/features/kanban.md	锚点路径(该行无可用摘录符号)	8	notes/r7c-raw-kanban.md:6,notes/r9d-raw-kanban-todo-cron.md:2
ENT	H-R9A-d	2	notes/r9a-raw-egress.md:1817	website/docs/developer-guide/egress-internals.md	锚点路径(该行无可用摘录符号)	2	notes/r4-20-remote-backends-serverless.md:2
ENT	H-R9A-d	3	notes/r9b-90-rulings.md:8	tools/skills_sync_client.py	锚点路径(该行无可用摘录符号)	48	notes/r7-raw-run-13-turn-exec-lifecycle.md:1,notes/r9a-90-rulings.md:1,notes/r9a-raw-skills-sync.md:44,notes/r9c-raw-billing-and-http-clients.md:1,notes/r9c-raw-monitoring-egress.md:1
ENT	H-R9A-g	1	notes/r9d-91-handover-rulings.md:769	AGENTS.md	锚点路径(该行无可用摘录符号)	408	chapters/r1-what-is-hermes-agent.md:2,chapters/r10-client-interface-layer.md:1,chapters/r2-turn-loop-and-model-access.md:1,chapters/r5-session-state-and-persistence.md:5,chapters/r7b-platform-integration.md:1,chapters/r7c-gateway-periphery-and-scheduling.md:2
ENT	H-R9A-g	2	notes/r9d-92-mainline-tests-and-crosschecks.md:624	x_search	摘录符号	113	chapters/r9d-tool-surface-and-guard-placement.md:11,notes/r8a-raw-defaults-b.md:19,notes/r8a-raw-tools-config-a.md:16,notes/r8a-raw-tools-config-b.md:6,notes/r9b-raw-video.md:2,notes/r9d-01-scope-and-l1-closeout.md:1
ENT	H-R9B-1	1	notes/r9b-raw-pet.md:1389	STATE_ROWS	摘录符号	1	notes/r11b-raw-rulings-census.md:1
ENT	H-R9B-1	2	notes/r9b-raw-voicein.md:1798	tools/voice_mode.py	锚点路径(该行无可用摘录符号)	23	chapters/r9b-multimodal-delivery.md:2,chapters/r9c-external-interfaces.md:1,notes/r10b-raw-lib-themes.md:1,notes/r8b-raw-cli-voice-approval.md:10,notes/r9c-90-handover-rulings.md:1,reports/round-1-capabilities-full.md:3
ENT	H-R9B-2	1	notes/r9b-raw-pet.md:1390	image_generate	摘录符号	60	chapters/r9b-multimodal-delivery.md:3,notes/r10-raw-acp-adapter.md:4,notes/r10b-raw-message-render.md:7,notes/r7-raw-run-01-module-helpers.md:5,notes/r9a-raw-learning-graph.md:3,notes/r9b-raw-image.md:21
ENT	H-R9B-2	2	notes/r9b-raw-voicein.md:1806	_DEFAULTS	摘录符号	10	notes/r7c-raw-status.md:10
ENT	H-R9B-3	1	notes/r9b-raw-pet.md:1391	pytest.mark.skipif	摘录符号	0	-
ENT	H-R9B-3	2	notes/r9b-raw-voicein.md:1812	listen_for_speech	摘录符号	3	reports/round-1-capabilities-full.md:2,reports/round-1-survey.md:1
ENT	H-R9B-4	1	notes/r9b-raw-pet.md:1392	_ROWCOL_DIACRITICS	摘录符号	0	-
ENT	H-R9B-4	2	notes/r9b-raw-voicein.md:1817	DEFAULT_STT_MODEL	摘录符号	0	-
ENT	H-R9B-5	1	notes/r9b-raw-pet.md:1393	register_local_pet	摘录符号	0	-
ENT	H-R9B-5	2	notes/r9b-raw-voicein.md:1822	tools/voice_mode.py	锚点路径(该行无可用摘录符号)	23	chapters/r9b-multimodal-delivery.md:2,chapters/r9c-external-interfaces.md:1,notes/r10b-raw-lib-themes.md:1,notes/r8b-raw-cli-voice-approval.md:10,notes/r9c-90-handover-rulings.md:1,reports/round-1-capabilities-full.md:3
ENT	H-R9B-a	1	notes/r9b-raw-tts.md:1741	output_path	摘录符号	20	notes/r11b-90-handover-rulings.md:1,notes/r7-raw-run-11-voice-media-bg.md:5,notes/r7b-30-base-media-and-egress.md:1,notes/r7c-raw-slash-c.md:1,notes/r8d-raw-self-repair.md:4,notes/r8d-str-setup-and-ux.md:1
ENT	H-R9B-a	2	notes/r9b-raw-video.md:2845	website/docs/developer-guide/video-gen-provider-plugin.md	锚点路径(该行无可用摘录符号)	0	-
ENT	H-R9B-a	3	reports/round-9b-multimodal-delivery.md:451	native_stt_available	摘录符号	14	chapters/r9b-multimodal-delivery.md:2,chapters/r9c-external-interfaces.md:2,notes/r11b-raw-rulings-census.md:2,notes/r9b-raw-voicein.md:5,notes/r9c-90-handover-rulings.md:2,reports/round-9c-external-interfaces.md:1
ENT	H-R9B-a	4	reports/round-9c-external-interfaces.md:234	tools/transcription_tools.py	锚点路径(该行无可用摘录符号)	62	chapters/r9b-multimodal-delivery.md:1,chapters/r9c-external-interfaces.md:1,notes/r8a-raw-tools-config-a.md:3,notes/r9a-raw-async-delegation.md:1,notes/r9b-raw-voicein.md:48,notes/r9c-90-handover-rulings.md:2
ENT	H-R9B-b	1	notes/r9b-raw-tts.md:1742	pytest.importorskip	摘录符号	7	notes/r9c-raw-monitoring-egress.md:1,notes/r9d-92-mainline-tests-and-crosschecks.md:1,notes/r9d-raw-messaging-platform-tools.md:2,reports/round-9b-multimodal-delivery.md:1,reports/round-9c-external-interfaces.md:1,reports/round-9d-l1-completion.md:1
ENT	H-R9B-b	2	notes/r9b-raw-video.md:2859	register_provider	摘录符号	27	chapters/r8d-self-custody.md:1,notes/r8a-raw-tools-config-b.md:1,notes/r8c-raw-dashboard-auth.md:1,notes/r8d-90-rulings.md:1,notes/r8d-raw-extensions.md:3,notes/r8d-raw-provider-identity.md:1
ENT	H-R9B-b	3	reports/round-9b-multimodal-delivery.md:452	_XAI_SPEECH_TAG_RE	摘录符号	9	chapters/r9b-multimodal-delivery.md:3,notes/r9b-raw-tts.md:5,notes/r9c-90-handover-rulings.md:1
ENT	H-R9B-c	1	notes/r9b-raw-tts.md:1743	tts_config.get	摘录符号	0	-
ENT	H-R9B-c	2	notes/r9b-raw-video.md:2867	xai_video_edit	摘录符号	4	notes/r9d-90-handover-agents-md-toolset-census.md:1,reports/round-1-capabilities-full.md:2,reports/round-1-survey.md:1
ENT	H-R9B-c	3	reports/round-9b-multimodal-delivery.md:453	image_urls	摘录符号	35	chapters/r9b-multimodal-delivery.md:3,notes/r9b-raw-image.md:21,notes/r9b-raw-pet.md:5,notes/r9b-raw-video.md:4,notes/r9c-90-handover-rulings.md:1,reports/round-1-capabilities-full.md:1
ENT	H-R9B-d	1	notes/r10-90-handover-rulings.md:83	gateway/relay/media.py	锚点路径(该行无可用摘录符号)	41	chapters/r9a-capability-organization.md:2,notes/r11b-90-handover-rulings.md:1,notes/r11b-92-fix-regression-correction.md:2,notes/r11b-raw-rulings-census.md:8,notes/r9a-90-rulings.md:2,notes/r9a-h-r8d-ef-surveys.md:6
ENT	H-R9B-d	2	notes/r9b-raw-tts.md:1744	_XAI_WRAPPING_SPEECH_TAGS	摘录符号	2	chapters/r9b-multimodal-delivery.md:1,reports/round-9b-multimodal-delivery.md:1
ENT	H-R9B-e	1	notes/r11a-90-handover-rulings.md:22	_teams_mod.check_teams_requirements	摘录符号	0	-
ENT	H-R9B-e	2	notes/r9b-raw-tts.md:1745	_spoken_sentences	摘录符号	0	-
ENT	H-R9B-e	3	reports/round-9b-multimodal-delivery.md:455	pyproject.toml	锚点路径(该行无可用摘录符号)	91	chapters/r11a-ops-and-delivery.md:2,chapters/r8b-cli-trunk-and-interaction.md:1,chapters/r9d-tool-surface-and-guard-placement.md:2,notes/r10-raw-acp-adapter.md:2,notes/r10-raw-native-vendor.md:6,notes/r10-raw-tui-gateway-skeleton.md:1
ENT	H-R9B-f	1	notes/r9b-raw-tts.md:1746	WhatsApp	摘录符号	104	chapters/r7-gateway-session-core.md:3,chapters/r7b-platform-integration.md:2,notes/r10-raw-web-dashboard.md:1,notes/r11a-raw-ci-and-container.md:5,notes/r11a-raw-install-release.md:1,notes/r11b-raw-backlog-r7b.md:2
ENT	H-R9B-f	2	reports/round-9b-multimodal-delivery.md:456	tools/tts_tool.py	锚点路径(该行无可用摘录符号)	122	chapters/r9b-multimodal-delivery.md:6,notes/r11b-90-handover-rulings.md:1,notes/r7-raw-run-11-voice-media-bg.md:2,notes/r7c-raw-cron-sched-b.md:1,notes/r8a-raw-tools-config-a.md:1,notes/r9a-raw-async-delegation.md:1
