symbol	unit	chapter_at	chapter_n	later_at	later_n	chapter_line	later_line
website/docs	种	chapters/r9b-multimodal-delivery.md:362	16	reports/round-11a-ops-and-delivery.md:273	3	| **用户文档** | **人** | `website/docs` 说支持 16 种界面语言 |	1. 上面说的第三种形态风险(`website/docs` 未实测);
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-11a-ops-and-delivery.md:403	080	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	**问题形态**:`round=R6` 名下 1,080 个 L3 文件,`status` 自 R6 起一直是 `R1-inventoried`,
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-11a-ops-and-delivery.md:403	080	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	**问题形态**:`round=R6` 名下 1,080 个 L3 文件,`status` 自 R6 起一直是 `R1-inventoried`,
SKILL.md	份	chapters/r9a-capability-organization.md:36	1	reports/round-11a-ops-and-delivery.md:468	183	核心是一份 `SKILL.md`——顶部一段 YAML **frontmatter**(前置元数据,写名字、描述、依赖),	`SKILL.md` / `DESCRIPTION.md` 是**类名而非某一份文件**(183 份 / 16 份);
website/docs	种	chapters/r9b-multimodal-delivery.md:362	16	reports/round-11a-ops-and-delivery.md:516	3	| **用户文档** | **人** | `website/docs` 说支持 16 种界面语言 |	`website/docs` 那 787 文件——它是唯一未实测的 L3 形态,先做它能把"第三种形态"的风险清掉。
scripts/verify_ledger.py	个	chapters/r1-what-is-hermes-agent.md:98	5	reports/round-11b-review-and-reconciliation.md:567	3	五个层(`data/ledger.tsv` 台账,`scripts/verify_ledger.py` 校验)。**下表是当前值,不是历史快照**	收尾时对本报告与本轮成品章再跑一次,**又抓到 4 处**(片 A 三个探针的裸名 + `scripts/verify_ledger.py`),
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-11c-pre-binding-cleanup.md:39	38	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	保留 `R6` 与 R11B 不改那 38 个文件 `status` 同源:**改掉就抹掉了「哪一轮原本声称要做」这条线索**。
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-11c-pre-binding-cleanup.md:39	38	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	保留 `R6` 与 R11B 不改那 38 个文件 `status` 同源:**改掉就抹掉了「哪一轮原本声称要做」这条线索**。
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-7b-platform-integration.md:141	37	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	本轮 `status`:37 个 `round=R7B` 文件 → `R7B-deep-read`。
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-7c-gateway-periphery-and-scheduling.md:176	47	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	本轮 `status`:**47 个 `round=R7C` 文件 → `R7C-deep-read`**。
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8-fix-review-1.md:174	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8-fix-review-1.md:174	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	reports/round-8-fix-review-1.md:174	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
send_clarify	个	chapters/r7b-platform-integration.md:819	2	reports/round-8-fix-review-1.md:271	5	**这五个交互方法里,两个有基类桩(`send_clarify`、`send_slash_confirm`)、三个没有**	| M-4a | 阻断 | **采纳并加重** | `notes/r7b-90-*.md` B-4 由 ▲ 降 ◇、锚点 `:105`→`:103`/`:113`;`chapters/r7b-*.md` 同改。**加重**:该小节实为**五
send_slash_confirm	个	chapters/r7b-platform-integration.md:819	2	reports/round-8-fix-review-1.md:271	5	**这五个交互方法里,两个有基类桩(`send_clarify`、`send_slash_confirm`)、三个没有**	| M-4a | 阻断 | **采纳并加重** | `notes/r7b-90-*.md` B-4 由 ▲ 降 ◇、锚点 `:105`→`:103`/`:113`;`chapters/r7b-*.md` 同改。**加重**:该小节实为**五
WECOM	个	chapters/r7b-platform-integration.md:22	1	reports/round-8-fix-review-1.md:280	13	——`WECOM` 与 `WECOM_CALLBACK` 共用 `wecom` 一个目录;12 + 10 = 22 ✓)。	| M-11 | 建议 | **部分驳回(附反证)** | 发现成立(四数不构成划分),**但评审位给的替换措辞本身是错的**:它写"另有 **9** 个插件平台不占枚举位",而它自己上一段列了 **10** 个名字(a2a / buzz 
WECOM_CALLBACK	个	chapters/r7b-platform-integration.md:22	1	reports/round-8-fix-review-1.md:280	13	——`WECOM` 与 `WECOM_CALLBACK` 共用 `wecom` 一个目录;12 + 10 = 22 ✓)。	| M-11 | 建议 | **部分驳回(附反证)** | 发现成立(四数不构成划分),**但评审位给的替换措辞本身是错的**:它写"另有 **9** 个插件平台不占枚举位",而它自己上一段列了 **10** 个名字(a2a / buzz 
wecom	个	chapters/r7b-platform-integration.md:22	1	reports/round-8-fix-review-1.md:280	13	——`WECOM` 与 `WECOM_CALLBACK` 共用 `wecom` 一个目录;12 + 10 = 22 ✓)。	| M-11 | 建议 | **部分驳回(附反证)** | 发现成立(四数不构成划分),**但评审位给的替换措辞本身是错的**:它写"另有 **9** 个插件平台不占枚举位",而它自己上一段列了 **10** 个名字(a2a / buzz 
cli.py	个	chapters/r8a-configuration-surface.md:325	2	reports/round-8-fix-review-1.md:385	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	「mixin 与 `cli.py` 之间 35 个方法名的隐式跨文件接口」。**两条不同的缺陷共用了一个编号。**
cli.py	个	chapters/r8a-configuration-surface.md:421	89	reports/round-8-fix-review-1.md:385	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	「mixin 与 `cli.py` 之间 35 个方法名的隐式跨文件接口」。**两条不同的缺陷共用了一个编号。**
CommandDef	个	chapters/r7c-gateway-periphery-and-scheduling.md:174	2	reports/round-8a-configuration-surface.md:301	94	> 按 AST 直读注册表复算:`interrupt_then_dispatch` 落在 **2 个** `CommandDef` 上	**②的补齐**:94 个 `CommandDef` / 26 个别名 / 120 个可敲 token / 8 条 `gateway_only`
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-8a-configuration-surface.md:615	15	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	本轮 `status`:**15 个 `round=R8A` 文件 → `R8A-deep-read`**,diff 恰好 15 行改动。
cli.py	个	chapters/r8a-configuration-surface.md:325	2	reports/round-8b-cli-trunk-and-interaction.md:48	24	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	一层 `update` 只会让**三层深**的键丢兄弟,`cli.py` 的默认值里这样的子树**恰好 4 棵、共 24 个叶子**
cli.py	个	chapters/r8a-configuration-surface.md:421	89	reports/round-8b-cli-trunk-and-interaction.md:48	24	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	一层 `update` 只会让**三层深**的键丢兄弟,`cli.py` 的默认值里这样的子树**恰好 4 棵、共 24 个叶子**
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	reports/round-8b-cli-trunk-and-interaction.md:50	14	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	**14 个没有**。没救回来的正是 `agent.personalities` 的 14 个内置人格,因为它们的兜底是 `{}`。
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	reports/round-8b-cli-trunk-and-interaction.md:50	14	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	**14 个没有**。没救回来的正是 `agent.personalities` 的 14 个内置人格,因为它们的兜底是 `{}`。
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	reports/round-8b-cli-trunk-and-interaction.md:61	4	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	reports/round-8b-cli-trunk-and-interaction.md:61	4	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8b-cli-trunk-and-interaction.md:61	4	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8b-cli-trunk-and-interaction.md:61	4	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
config.yaml	个	chapters/r8a-configuration-surface.md:204	1	reports/round-8b-cli-trunk-and-interaction.md:61	4	也就是说,用户可以在 `config.yaml` 里写一个**任意名字**的顶层标量,给技能脚本和外部程序	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
config.yaml	个	chapters/r8a-configuration-surface.md:343	1	reports/round-8b-cli-trunk-and-interaction.md:61	4	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	而**全部读取点读的都是 `agent.personalities`**。四个消费面实跑对照(全新安装、无 `config.yaml`):
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	reports/round-8b-cli-trunk-and-interaction.md:175	4	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	| ■-R8B-01 | `agent.personalities` 是 CLI 专属键,四个消费面两个看不见内置人格;仓库已在两处打补丁并留注释,**消息网关漏了** | 四面实跑对照;`hermes_cli/commands.py:20
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	reports/round-8b-cli-trunk-and-interaction.md:175	4	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	| ■-R8B-01 | `agent.personalities` 是 CLI 专属键,四个消费面两个看不见内置人格;仓库已在两处打补丁并留注释,**消息网关漏了** | 四面实跑对照;`hermes_cli/commands.py:20
cli.py	个	chapters/r8a-configuration-surface.md:325	2	reports/round-8b-cli-trunk-and-interaction.md:181	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	| ■-R8B-08 | mixin 与 `cli.py` 之间有一个**35 个方法名的隐式跨文件接口**,无任何声明 | AST 实测:mixin 内 `self.X()` 调用 74 个不同方法名,其中 **35 个 mixin 自己
cli.py	个	chapters/r8a-configuration-surface.md:421	89	reports/round-8b-cli-trunk-and-interaction.md:181	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	| ■-R8B-08 | mixin 与 `cli.py` 之间有一个**35 个方法名的隐式跨文件接口**,无任何声明 | AST 实测:mixin 内 `self.X()` 调用 74 个不同方法名,其中 **35 个 mixin 自己
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8b-cli-trunk-and-interaction.md:202	5	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	- **◇-R8B-b**:`config.yaml` 读取函数应从 R8A 的**五个**更正为**六个**;
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8b-cli-trunk-and-interaction.md:202	5	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	- **◇-R8B-b**:`config.yaml` 读取函数应从 R8A 的**五个**更正为**六个**;
config.yaml	个	chapters/r8a-configuration-surface.md:204	1	reports/round-8b-cli-trunk-and-interaction.md:202	5	也就是说,用户可以在 `config.yaml` 里写一个**任意名字**的顶层标量,给技能脚本和外部程序	- **◇-R8B-b**:`config.yaml` 读取函数应从 R8A 的**五个**更正为**六个**;
config.yaml	个	chapters/r8a-configuration-surface.md:343	1	reports/round-8b-cli-trunk-and-interaction.md:202	5	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	- **◇-R8B-b**:`config.yaml` 读取函数应从 R8A 的**五个**更正为**六个**;
_config_default_interface_early	个	chapters/r8a-configuration-surface.md:19	2	reports/round-8b-cli-trunk-and-interaction.md:203	6	`_config_default_interface_early`,见 `chapters/r8b-cli-trunk-and-interaction.md` §7),其中两个是完整装载器,	第六个是 `_config_default_interface_early`(`hermes_cli/main.py:280`),
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-8b-cli-trunk-and-interaction.md:252	50	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	本轮 50 个文件 `layer` L2→L1、`status` → `R8B-deep-read`。
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-8b-cli-trunk-and-interaction.md:252	50	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	本轮 50 个文件 `layer` L2→L1、`status` → `R8B-deep-read`。
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8b-cli-trunk-and-interaction.md:409	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8b-cli-trunk-and-interaction.md:409	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	reports/round-8b-cli-trunk-and-interaction.md:409	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	**后果:用户把 `config.yaml` 改坏一个缩进,再跑一次 `hermes login` 一族的命令,
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8b-cli-trunk-and-interaction.md:468	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	喂一个缩进坏掉的 `config.yaml` 实测:它在返回 `{}` **之前**已经做了两件事——
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8b-cli-trunk-and-interaction.md:468	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	喂一个缩进坏掉的 `config.yaml` 实测:它在返回 `{}` **之前**已经做了两件事——
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	reports/round-8b-cli-trunk-and-interaction.md:468	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	喂一个缩进坏掉的 `config.yaml` 实测:它在返回 `{}` **之前**已经做了两件事——
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8c-dashboard-and-web.md:294	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8c-dashboard-and-web.md:294	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	reports/round-8c-dashboard-and-web.md:294	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:129	2	reports/round-8c-dashboard-and-web.md:294	1	上一轮(R8A)的结论是:同一份 `config.yaml` 被两个装载器读,合并语义不一样。	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:191	4	reports/round-8c-dashboard-and-web.md:294	1	四个消费面实跑对照(全新安装,没有 `config.yaml`):	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:552	5	reports/round-8c-dashboard-and-web.md:294	1	- **◇-R8B-b** `config.yaml` 的读取函数应从上一轮的**五个**更正为**六个**;第六个是启动最早期的 `_config_default_interface_early`(`hermes_cli/main.py:	| ■-R8C-03 | 同一个 `config.yaml`:读端点 403「敏感文件」、写端点 200 整个替换 —— 可清空 `approvals.deny` | 实测 |
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-8c-dashboard-and-web.md:328	26	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	8. **26 个文件的 `status` 判定**:两个巨型文件(`web_server.py` 17,732 行分 6 段切片覆盖、
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-8c-dashboard-and-web.md:328	26	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	8. **26 个文件的 `status` 判定**:两个巨型文件(`web_server.py` 17,732 行分 6 段切片覆盖、
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	reports/round-8d-cli-completion.md:191	3	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	reports/round-8d-cli-completion.md:191	3	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8a-configuration-surface.md:204	1	reports/round-8d-cli-completion.md:191	3	也就是说,用户可以在 `config.yaml` 里写一个**任意名字**的顶层标量,给技能脚本和外部程序	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8a-configuration-surface.md:343	1	reports/round-8d-cli-completion.md:191	3	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:129	2	reports/round-8d-cli-completion.md:191	3	上一轮(R8A)的结论是:同一份 `config.yaml` 被两个装载器读,合并语义不一样。	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:191	4	reports/round-8d-cli-completion.md:191	3	四个消费面实跑对照(全新安装,没有 `config.yaml`):	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:552	5	reports/round-8d-cli-completion.md:191	3	- **◇-R8B-b** `config.yaml` 的读取函数应从上一轮的**五个**更正为**六个**;第六个是启动最早期的 `_config_default_interface_early`(`hermes_cli/main.py:	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
config.yaml	个	chapters/r8c-dashboard-and-web.md:412	1	reports/round-8d-cli-completion.md:191	3	| ■ | `hermes_cli/web_server.py:2453`、`:2573` | 同一个 `config.yaml`:读端点 403、写端点 200;可清空 `approvals.deny` |	| **H-R8C-b** | **关闭,且结论比移交项更强。** 移交项推定"三个写端点漏调守卫";实际是**整条写路径在设计上就不查敏感名**,而守卫的 docstring 明写 "handled by the write-path c
urlopen	个	chapters/r8d-self-custody.md:328	4	reports/round-9a-capability-organization.md:156	1	代价是这个保护**只在 4 个文件 5 处采用**,而全仓有 60 多个裸 `urlopen` 调用。◇	另需记一笔:该普查发现的另一个同型实例走的是 `requests` 而非 `urlopen`——
max_iterations	个	chapters/r2-turn-loop-and-model-access.md:110	2	reports/round-9a-capability-organization.md:178	14	**设计**:循环条件同时看两个上限——模型调用计数不超过 `max_iterations`(构造默认 **90**),和一个可退款的	| **▲** | `AGENTS.md:328` 记 `max_iterations` 默认 **500**,`run_agent.py:446` 实为 **90**;全仓 5 处默认值无一为 500。同段其余 14 个参数默认值**逐个
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-9b-multimodal-delivery.md:130	46	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	五层加总 = 全仓总行数 **2,608,452**,守恒。本轮 46 个文件的 `status`
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-9b-multimodal-delivery.md:130	46	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	五层加总 = 全仓总行数 **2,608,452**,守恒。本轮 46 个文件的 `status`
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-9c-external-interfaces.md:62	47	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	47 个文件的 `status` 全部转为 `R9C-deep-read`(转前 47 个 `R1-inventoried`,转后 0 个)。
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-9c-external-interfaces.md:62	47	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	47 个文件的 `status` 全部转为 `R9C-deep-read`(转前 47 个 `R1-inventoried`,转后 0 个)。
urlopen	处	chapters/r8d-self-custody.md:328	5	reports/round-9c-external-interfaces.md:220	1	代价是这个保护**只在 4 个文件 5 处采用**,而全仓有 60 多个裸 `urlopen` 调用。◇	*本普查自身的一处修正(留痕):初版把"发送点"只定义为 `urlopen`/`opener.open`,
status	个	chapters/r1-what-is-hermes-agent.md:118	122	reports/round-9d-l1-completion.md:57	49	**不**回答"它学过没有"。后者在台账的 `status` 列里,当前仍有 **8,122 个文件 / 2,236,870 行**	49 个文件的 `status` 全部转为 `R9D-deep-read`。
status	个	chapters/r8a-configuration-surface.md:140	2	reports/round-9d-l1-completion.md:57	49	而如果他两个名字都留着(升级期常见做法),`status` 会显示**旧名的值**——	49 个文件的 `status` 全部转为 `R9D-deep-read`。
read_file	个	chapters/r2-turn-loop-and-model-access.md:47	3	reports/round-9d-l1-completion.md:223	2	- harness 执行搜索,把结果发回模型。模型看了结果,回:"我再 `read_file` 看看这三个文件的上下文。"	| 4 | `tools/file_operations.py:1674` `patch` 绕过读禁清单 | **复现**:`read_file` 判拒绝、`patch` 判成功,两个明文 `api_key` 逐字进 diff |
read_file	个	chapters/r3-tool-infrastructure.md:303	1	reports/round-9d-l1-completion.md:223	2	都换成下划线),所以 `read-file` 和 `read_file` 会撞成同一个名字。撞了怎么办?**全部跳过,不选任何一个	| 4 | `tools/file_operations.py:1674` `patch` 绕过读禁清单 | **复现**:`read_file` 判拒绝、`patch` 判成功,两个明文 `api_key` 逐字进 diff |
