# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
	cid	entities	entity_idx	mint_file	mint_line	anchor_files	mint_text
MINT	H-4	3	1	notes/r8a-90-doc-conflict-rulings.md	2113	cli.py	| H-4 | **R8D** | `hermes_cli/managed_scope.py` | 本轮从 `config.py:3396` 与 `cli.py:624` 两侧读到它,但**没读本体**;managed 层的叶级合并实现与失败姿态未取证 |
MINT	H-4	3	2	notes/r8d-raw-provider-identity.md	2705	hermes_cli/providers.py	| H-4 | `hermes_cli/providers.py:402-405` | `vllm` / `llamacpp` / `llama.cpp` / `llama-cpp` 映到 `local`,而 `get_provider('local')` 返回 `None` | 死靶点;auth 
MINT	H-4	3	3	notes/r9a-raw-research-pipeline.md	2301	mini_swe_runner.py	| H-4 | `mini_swe_runner.py:609-620` | 失败任务写出 `"conversations": []` 的空记录,压缩器判为 skipped_under_target 原样透传,无任何过滤 | 需确认下游(`scripts/sample_and_compress.py
VERDICT-WEAK	H-4	3	-	reports/round-8a-configuration-surface.md	749	移交	读到它,但没读实现,作为 **H-4** 移交。
MINT	H-5	3	1	notes/r8a-90-doc-conflict-rulings.md	2114	ui-tui/src/gatewayTypes.ts	| H-5 | **R9/R10** | `ui-tui/src/gatewayTypes.ts:89` 等 TS 侧读取点 | 856 个配置键中有一类**只由 TypeScript 读**;TS 侧是否有自己的默认值(即第三份默认值)未查 |
MINT	H-5	3	2	notes/r8d-raw-provider-identity.md	2706	hermes_cli/model_normalize.py	| H-5 | `hermes_cli/model_normalize.py:493` | 若传入 models.dev 空间的 provider 名,所有分支落空、模型名原样返回 | 未找到实际会这么传的调用方,但没有断言拦住;**这是一条未证实的风险,不是已取证结论** |
MINT	H-5	3	3	notes/r9a-raw-research-pipeline.md	2302	datagen-config-examples/web_research.yaml	| H-5 | `datagen-config-examples/web_research.yaml:1-46` | 整份文件配置的是不存在的 `WebResearchEnv` 与不存在的 `--config` 参数,11 个键无人读 | 已定案 ▲-1;台账里这 4 个样例文件建议标 L4「有理由
VERDICT-STRONG	H-5	3	-	notes/r9a-raw-research-pipeline.md	2302	定案	| H-5 | `datagen-config-examples/web_research.yaml:1-46` | 整份文件配置的是不存在的 `WebResearchEnv` 与不存在的 `--config` 参数,11 个键无人读 | 已定案 ▲-1;台账里这 4 个样例文件建议标 L4「有理由排除:失效示例」而非 L3 |
MINT	H-6	3	1	notes/r8d-raw-provider-identity.md	2707	agent/agent_runtime_helpers.py,hermes_cli/providers.py,hermes_cli/runtime_provider.py	| H-6 | `hermes_cli/providers.py:614` vs `hermes_cli/runtime_provider.py:106` | 两张 host→api_mode 表互为补集,直接调 `determine_api_mode` 的路径拿不到 x.ai / actual.i
MINT	H-6	3	2	notes/r9a-raw-delegate-tool.md	2862	run_agent.py,tools/terminal_tool.py	- **H-6(生命周期口径,需要 R9 的 terminal / process_registry 负责人确认)**:
MINT	H-6	3	3	notes/r9a-raw-research-pipeline.md	2303	batch_runner.py	| H-6 | `batch_runner.py:838-844` | `--resume` 时批号从 0 重编,新批追加写进老的 `batch_N.jsonl`,`checkpoint['batch_stats'][N]` 被覆盖 | 本轮只做了静态推演(§2.7),没有端到端跑通;若要写进成品章
MINT	H-7	4	1	notes/r8a-90-doc-conflict-rulings.md	2117	hermes_cli/config.py	| H-7 | **R8B / R8D** | `hermes_cli/config.py:3065`(`require_readable_config_before_write`) | 该守卫只检查文件**可读**不检查**可解析**;`set/unset_config_value` 各自补了解析
MINT	H-7	4	1	notes/r8b-90-handover-rulings.md	209	hermes_cli/config.py	## 1.9 原 §1 正文(迁移流水线那条线,结论仍成立,仅作废其"H-7 关闭"的推论)
MINT	H-7	4	2	notes/r8d-raw-credentials-security.md	271	hermes_cli/credential_lifecycle.py	**(c) 写 config 前先做可读性守卫。** 这正是 CLAUDE.md 里 R8B "H-7 负结论"教训点名的那道闸:
MINT	H-7	4	3	notes/r8d-raw-provider-identity.md	2708	hermes_cli/model_normalize.py	| H-7 | `hermes_cli/model_normalize.py:61` 与 `:65` | `_VENDOR_PREFIXES` 重复键 `"trinity"` | 无行为影响,可作为“lint 覆盖面”话题的实例 |
MINT	H-7	4	4	notes/r9a-raw-research-pipeline.md	2304	batch_runner.py	| H-7 | `batch_runner.py:452-460` 与 `:491-506` | 被丢弃的零推理样本在 `continue` 处跳过了统计聚合,于是终局报表的 "Without reasoning" 分母不含这些样本 | 口径问题而非崩溃;需判定是有意(丢弃的不算样本)还是无意。本轮
VERDICT-STRONG	H-7	4	-	notes/r11b-raw-rulings-census.md	650	关闭	本片实际取的短语(逐个跑过):`静默消失` / `静默抹掉`、`H-7 关闭`、`20+ 平台` / `20+ external`、
VERDICT-WEAK	H-7	4	-	notes/r11b-raw-rulings-census.md	738	移交	> 这正是 CLAUDE.md 里 R8B 的 H-7 移交项描述的那类事故(坏 YAML 下把用户的
VERDICT-STRONG	H-7	4	-	notes/r11b-raw-rulings-census.md	773	关闭/作废	| 「H-7 关闭,没有第三个读原始配置后落盘的调用方」 | `notes/r8b-90-handover-rulings.md:22`:`## 1. H-7:**重开**——第三个"读原始配置后落盘"的调用方确实存在(原负结论作废)` | `H-7 关闭` + 案号 `H-7` | **0 命中**:R8B 之后无任何一轮把它当结论;R8B 报告正文那句已由文末勘误节兜住 |
VERDICT-WEAK	H-7	4	-	notes/r8a-90-doc-conflict-rulings.md	1972	移交	——那才是 F4 描述的形态。本轮未穷举,列为移交项 H-7。
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	14	结清/改判/不成立	| H-7 | R8B / R8D | ~~结清,负结论~~ → **重开:负结论不成立**(见 §1.0) | **改判**,派生 H-R8FIX-a |
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	22	作废	## 1. H-7:**重开**——第三个"读原始配置后落盘"的调用方确实存在(原负结论作废)
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	26	关闭/撤销/不成立	> **本节原来的结论是"没有被截断。H-7 关闭。"——这个负结论不成立,现予撤销。**
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	32	关闭	> 本卷写下"H-7 关闭",按 CLAUDE.md 的移交制度,后续轮次不会再回来看这里。
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	203	定案	**H-7 重开,并派生 H-R8FIX-a(见 §7)**:本轮只定案 `auth.py:7329` 一处并复核了五个裸写点;
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	209	关闭/作废	## 1.9 原 §1 正文(迁移流水线那条线,结论仍成立,仅作废其"H-7 关闭"的推论)
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	248	关闭/作废	*(R8-fix:原文此处写的是"H-7 关闭"。**该推论作废**:没被截断的是**迁移流水线**,
VERDICT-STRONG	H-7	4	-	notes/r8b-90-handover-rulings.md	249	证伪	而 H-7 问的是"有没有第三个调用方"。答案是有,见 §1.0。**只证伪了一个候选,
VERDICT-WEAK	H-7	4	-	notes/r8d-raw-extensions.md	2262	移交	这正是 CLAUDE.md 里 R8B 的 H-7 移交项描述的那类事故(坏 YAML 下把用户的
VERDICT-STRONG	H-7	4	-	notes/r9a-raw-research-pipeline.md	2304	定案	| H-7 | `batch_runner.py:452-460` 与 `:491-506` | 被丢弃的零推理样本在 `continue` 处跳过了统计聚合,于是终局报表的 "Without reasoning" 分母不含这些样本 | 口径问题而非崩溃;需判定是有意(丢弃的不算样本)还是无意。本轮未定案 |
VERDICT-STRONG	H-7	4	-	reports/round-8-fix-review-1.md	39	关闭	2. **发现并修正一条被关闭的负结论**(M-19)。R8B 写"H-7 关闭",而漏掉的那个调用方
VERDICT-STRONG	H-7	4	-	reports/round-8-fix-review-1.md	141	证伪	R8B 的 H-7 问"有没有第三个'读原始配置后整文件落盘'的调用方",查了迁移流水线、证伪、
VERDICT-STRONG	H-7	4	-	reports/round-8-fix-review-1.md	142	关闭/证伪	写下"**H-7 关闭**"。但**只证伪了一个候选,不等于穷举了候选集**。真正的第三个是:
VERDICT-WEAK	H-7	4	-	reports/round-8a-configuration-surface.md	495	移交	残留疑问(是否存在第三个直接 `read_raw_config()` 后落盘的调用方)作为 **H-7** 移交。
VERDICT-STRONG	H-7	4	-	reports/round-8b-cli-trunk-and-interaction.md	188	关闭	- **H-7 关闭**:没有第三个"读原始配置后落盘"的截断路径。13 行坏 YAML 实跑,
VERDICT-STRONG	H-7	4	-	reports/round-8b-cli-trunk-and-interaction.md	402	结清/不成立	1. **【M-19 / 阻断】§5 记 "H-7 结清,负结论" —— 该负结论不成立,H-7 已重开。**
VERDICT-STRONG	H-7	4	-	reports/round-8b-cli-trunk-and-interaction.md	425	结清	本报告写"H-7 结清",按移交制度后续轮次不会再回来看。而这条负结论的成立与否
MINT	H-9A-1	2	1	notes/r9a-raw-moa.md	2546	agent/agent_init.py,cli.py	| H-9A-1 | `agent/agent_init.py:73-96` + `cli.py:12042` | `-Q` 的 MoA 静默保护函数只被自己的测试导入,生产链路(`build_moa_facade` 内联中继 → `cli._on_tool_progress`)无任何模式判定,`h
MINT	H-9A-1	2	2	notes/r9a-raw-skills-hub.md	2231	tools/skills_tool.py	| H-9A-1 | `tools/skills_tool.py:1040` | `skill_view("ns:skill", file_path=...)` 返回 SKILL.md 全文、`success:true`、无 `file` 字段,请求的支持文件从未被读 | 下一轮确认插件 skill
VERDICT-STRONG	H-9A-1	2	-	notes/r9a-raw-moa.md	2546	升格/定案	| H-9A-1 | `agent/agent_init.py:73-96` + `cli.py:12042` | `-Q` 的 MoA 静默保护函数只被自己的测试导入,生产链路(`build_moa_facade` 内联中继 → `cli._on_tool_progress`)无任何模式判定,`hermes chat -Q -m moa:<preset>` 会把参谋块打进 stdout。需要在真
MINT	H-9A-2	2	1	notes/r9a-raw-moa.md	2547	agent/moa_loop.py,cli.py	| H-9A-2 | `agent/moa_loop.py:1209-1361` + `cli.py:14029-14032` | `aggregate_moa_context` 与 `_pending_moa_config` 构成一条完整但无生产生产者的 MoA 路径;`if _moa_cfg i
MINT	H-9A-2	2	2	notes/r9a-raw-skills-hub.md	2232	tools/skills_tool.py	| H-9A-2 | `tools/skills_tool.py:1255` | 树外符号链接 + 注入关键词双命中时,`skill_view` 仍返回 `success:true` / `readiness_status: available`,告警只进 Python logger,返回体无任何警
MINT	H-9A-3	2	1	notes/r9a-raw-moa.md	2548	hermes_cli/config_defaults.py	| H-9A-3 | `hermes_cli/config_defaults.py:1782` | `moa.presets.default.max_tokens: 4096` 在 MoA 运行时无任何读取点,但配置默认值/normalize/Web API/文档示例四处都留着。 |
MINT	H-9A-3	2	2	notes/r9a-raw-skills-hub.md	2233	tools/skill_manager_tool.py	| H-9A-3 | `tools/skill_manager_tool.py:1337` | org 镜像 skill 的 `delete` 被拒、`remove_file` 成功删除 `references/note.md`,且不触发 `_maybe_auto_propose_org_edit`
MINT	H-9A-4	2	1	notes/r9a-raw-moa.md	2549	website/docs/user-guide/features/mixture-of-agents.md	| H-9A-4 | `website/docs/user-guide/features/mixture-of-agents.md:52-61` | 整节 `## How it works in the agent loop` 停留在 `per_iteration` 旧默认(第 7 条 + 第 26
MINT	H-9A-4	2	2	notes/r9a-raw-skills-hub.md	2234	tools/skills_hub.py	| H-9A-4 | `tools/skills_hub.py:3205` | `BrowseShSource.fetch` 对远端 JSON 给出的 `skillMdUrl` 直接 `httpx.get(..., follow_redirects=True)`,不经 `_guarded_http_
MINT	H-9A-5	2	1	notes/r9a-raw-moa.md	2550	agent/moa_loop.py	| H-9A-5 | `agent/moa_loop.py:2195-2203` | 参谋建议以"私有可信上下文"身份拼进 aggregator 提示词,没有任何"以下来自不可信模型输出"的包裹;工具结果里的 prompt injection 会经参谋放大一层。需要与 R3 的审批/安全簇合并判定。
MINT	H-9A-5	2	2	notes/r9a-raw-skills-hub.md	2235	tools/skills_guard.py	| H-9A-5 | `tools/skills_guard.py:101` | `THREAT_PATTERNS` 中无任何一条匹配 `` !`cmd` ``,而 `skills.inline_shell` 打开后该语法在 `skill_view` 时执行 | 下一轮读 `skills_guard
MINT	H-9A-6	2	1	notes/r9a-raw-moa.md	2551	agent/moa_loop.py	| H-9A-6 | `agent/moa_loop.py:1883-1885` | `_preset_cache.clear()` 让同进程多预设互相驱逐,缓存命中率在"主 agent + 子代理用不同预设"时归零。 |
MINT	H-9A-6	2	2	notes/r9a-raw-skills-hub.md	2236	tools/skills_tool.py	| H-9A-6 | `tools/skills_tool.py:118` | 深度 ≥2 的新增 skill 不改变缓存签名,`_find_all_skills` 在 30 秒内看不到它(实测 scan 2 缺 `second`) | 非缺陷,但 R12 蓝图写"缓存签名深度 = 允许的嵌套深度"
MINT	H-R10B-a	2	1	notes/r10-raw-tui-gateway-methods.md	1648	tui_gateway/methods_session.py	| H-R10B-a | `tui_gateway/methods_session.py:1800`:`@method("pet.generate")` | 该行下一行直接是 `def _(rid, params: dict) -> dict:`,**没有** `@_profile_scoped`;
MINT	H-R10B-a	2	1	reports/round-11b-review-and-reconciliation.md	95	tui_gateway/methods_session.py	**已造成实质后果的一处,主线逐处复核属实**:`H-R10B-a` 被 **3 处独立铸造**——
MINT	H-R10B-a	2	2	notes/r10b-raw-capability-panels.md	1353	apps/desktop/src/plugins/gateway-pill/plugin.tsx	| **H-R10B-a** | `apps/desktop/src/plugins/gateway-pill/plugin.tsx:350`:`const plugin: HermesPlugin = {` | 该插件未声明 `defaultEnabled`,默认开启,与核心 `gateway-h
VERDICT-STRONG	H-R10B-a	2	-	notes/r11a-90-handover-rulings.md	11	结清	| **H-R10B-a** 无扩展名锚点 | **结清** | `scripts/verify_citations.py:245`:`EXTLESS_NAMES = frozenset({` + 负控 13 条断言 |
VERDICT-STRONG	H-R10B-a	2	-	notes/r11b-raw-rulings-census.md	536	结清	> | **H-R10B-a** 无扩展名锚点 | **结清** | `scripts/verify_citations.py:245`:`EXTLESS_NAMES = frozenset({` + 负控 13 条断言 |
VERDICT-STRONG	H-R10B-a	2	-	notes/r11b-raw-rulings-census.md	538	结清	**「H-R10B-a 结清」这句话,在账面上读起来像三条都结清了,实际只结清了三分之一。**
VERDICT-STRONG	H-R10B-a	2	-	notes/r11b-raw-rulings-census.md	883	结清	| **H-R11B-A-c** | R12 前置 | `tui_gateway/methods_session.py:1800`:`@method("pet.generate")` | `H-R10B-a` 三处独立铸号中的一处,R11A 只结清了 `scripts/` 那一处;本条从未被任何轮处置,且因号已标结清而不会被发现 |
